frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
268,10.85916962645438,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
269,10.899688916105328,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
270,10.940208205756278,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
271,10.980727495407226,0,,,,,,,,,,,29.4,75.0,UNSAMPLED,0
272,11.021246785058176,1,294.0,74.9,2940,74.90,29.4,74.9,294,74.90,green_difference/PSM8,gray_otsu/PSM7,29.4,74.9,ACCEPT_RETRY,1
273,11.061766074709125,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
274,11.102285364360075,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
275,11.142804654011023,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
276,11.183323943661973,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
277,11.223843233312921,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
278,11.264362522963872,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
279,11.30488181261482,0,,,,,,,,,,,29.4,74.9,UNSAMPLED,0
